POI名称,所在区县,详细地址,经度,纬度,POI类型,分析类别
南京金丝利喜来登酒店,秦淮区,汉中路169号,118.77144,32.041945,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;餐饮相关场所;餐饮相关,餐饮
KORDA·Coffee(仙林店),栖霞区,杉湖东路16号MEET TOWN 美糖广场F1层,118.932137,32.100271,餐饮服务;咖啡厅;咖啡厅,餐饮
溧水新时代开元名都大酒店·地中海咖啡厅(时代国际广场店),溧水区,秦淮大道辅路与门塘巷交叉口西北100米,119.04491,31.63611,餐饮服务;中餐厅;特色/地方风味餐厅,餐饮
纳尔达斯大酒店,江宁区,宏运大道1890号(双龙大道地铁站1号口步行410米),118.820624,31.96455,住宿服务;宾馆酒店;三星级宾馆|餐饮服务;中餐厅;综合酒楼,餐饮
拉查·泰 山谷日落餐厅,江宁区,南京岳群青民宿西侧30米,118.942017,31.995829,餐饮服务;中餐厅;中餐厅,餐饮
狮子桥食府,鼓楼区,云南北路28号14号楼3层(狮子桥美食一条街荣氏烟酒旁电梯直上3层),118.778092,32.067423,餐饮服务;餐饮相关场所;餐饮相关,餐饮
禾盛家参鸡汤(瑞金路店),秦淮区,瑞金路2-7号,118.804009,32.032225,餐饮服务;外国餐厅;韩国料理,餐饮
戴欣川菜(中粮·鸿云坊店),江宁区,远泰路中粮鸿云一期门面房28幢113室,118.881761,31.991906,餐饮服务;中餐厅;中餐厅,餐饮
和记•北京烤鸭店(悦峰时光里店),浦口区,悦峰时光里东区20幢108室,118.71284,32.178853,餐饮服务;中餐厅;中餐厅,餐饮
La Mia Casa意式小馆(南北秀村小区店),鼓楼区,上海路南秀村14-1,118.775394,32.055769,餐饮服务;外国餐厅;意式菜品餐厅,餐饮
香山湖宴宾楼(浦口市民中心店),浦口区,江浦街道象山路4号,118.625972,32.066869,餐饮服务;中餐厅;中餐厅,餐饮
大鹏饭店(定淮门大街店),鼓楼区,郑和南路新河一村五号,118.735231,32.068831,餐饮服务;中餐厅;中餐厅,餐饮
和记·北京烤鸭(明发新城店),浦口区,明发城市广场28栋110室,118.687109,32.105334,餐饮服务;中餐厅;特色/地方风味餐厅,餐饮
热辣桑巴美蛙鱼头(马群店),栖霞区,"马群新街49号(靠近中国电信旁边,中国移动对面)",118.896074,32.051753,餐饮服务;中餐厅;火锅店,餐饮
麻喜大烧烤啤酒屋(分店),栖霞区,文范路9号康桥圣菲2栋103室(仙林大学城),118.914628,32.094244,餐饮服务;外国餐厅;韩国料理,餐饮
百灵岛咖啡,玄武区,锁金村街道龙蟠路100号花卉园内,118.810664,32.067579,餐饮服务;咖啡厅;咖啡厅,餐饮
芝士森林,六合区,大厂街道晓山路100号107室,118.739384,32.220646,餐饮服务;糕饼店;糕饼店,餐饮
品味豆花(南林大店),玄武区,锁金北路锁金四村7幢104室,118.816332,32.073973,餐饮服务;中餐厅;中餐厅|餐饮服务;冷饮店;冷饮店,餐饮
梅花香里大酒店(郁金香路店),雨花台区,郁金香路19号,118.778258,31.981877,餐饮服务;中餐厅;综合酒楼,餐饮
巧婆婆功夫鱼(新尧路店),栖霞区,新尧路22号,118.877208,32.122644,餐饮服务;中餐厅;海鲜酒楼,餐饮
聚宾渔村(江山路店),浦口区,江山路9号,118.736013,32.128885,餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;综合酒楼,餐饮
梅花香里大酒店(郁金香路店),雨花台区,郁金香路19号,118.778258,31.981877,餐饮服务;中餐厅;综合酒楼,餐饮
巧婆婆功夫鱼(新尧路店),栖霞区,新尧路22号,118.877208,32.122644,餐饮服务;中餐厅;海鲜酒楼,餐饮
聚宾渔村(江山路店),浦口区,江山路9号,118.736013,32.128885,餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;综合酒楼,餐饮
捌零炭烤羊腿(新天地店),玄武区,仙鹤门仙鹤新天地3幢2楼,118.904385,32.08518,餐饮服务;中餐厅;特色/地方风味餐厅,餐饮
